review,sentiment,text_pos
i ve only seen this film once when it was shown on tv but i can still remember it 15 years later so that must say something about it i thought it was an intelligent look into schooling friendship bullying and the influence it can have leading into adult life the title really refers to how being good or bad at sports can either make you the lowest of the low or you will be tolerated by the cliques within school and even later on into adulthood if you re good at it this is set in a private school in england but it could be anywhere the main character is bad at games seeks revenge in later life which all culminates in a climactic confrontation on a cricket pitch i must admit i was gutted by the ending it was powerful and saddening ,1,NN-VBP-RB-VBN-DT-NN-RB-WRB-PRP-VBD-VBN-IN-NN-CC-NN-MD-RB-VB-PRP-CD-NNS-RB-IN-DT-MD-VB-NN-IN-PRP-VBZ-VBD-PRP-VBD-DT-JJ-NN-IN-VBG-JJ-NN-CC-DT-NN-PRP-MD-VB-VBG-IN-JJ-NN-DT-NN-RB-NNS-TO-WRB-VBG-JJ-CC-JJ-IN-NNS-MD-RB-VB-PRP-DT-JJS-IN-DT-JJ-CC-PRP-MD-VB-VBN-IN-DT-NNS-IN-NN-CC-RB-RBR-IN-IN-NN-IN-PRP-VBP-JJ-IN-PRP-DT-VBZ-VBN-IN-DT-JJ-NN-IN-NN-CC-PRP-MD-VB-RB-DT-JJ-NN-VBZ-JJ-IN-NNS-VBP-NN-IN-JJ-NN-WDT-DT-NNS-IN-DT-JJ-NN-IN-DT-NN-NN-NN-MD-VB-NN-VBD-VBN-IN-DT-VBG-PRP-VBD-JJ-CC-VBG
disney the film name that once stood for all things innocent and suitable for all ages has finally started to realise that to survive it needs to become more diverse such diversity has been very apparent in the last couple of years films like tarzan and the emperor s new groove have made an attempt to move away from the traditional song driven routine of disney s past and into new uncharted territory atlantis is the boldest step yet but we have to remember this is still disney the first ever serious film to come out of disney s animation studio is a major achievement for them in fact it s so serious it makes it into pg territory perhaps why a lot of families were scared off from seeing it this past summer but despite the more mature subject matter this is still a film that disney wanted to draw in the families with not just mature audiences so the plot had to be kept simple enough for children to understand but interesting enough to take it away from the realms of the little mermaid et al so what we get is actually a potentially detailed plot unfortunately suffering the blow of being condensed into a 96 minute movie ultimately this is an action film about atlantis not about the exposition preceding it so we are whisked through the first half hour with as many sequences bombarding the screen as is possible without losing coherency suspend your disbelief of how the characters get from point a to point b so quickly you re unlikely to find an animated film that detailed coming out of hollywood if you want epic levels of detail in the plot turn to james cameron s titanic both films feature a boat in some manner and let s talk about love shall we yes as with a lot of films the lead male one milo thatch a bumbling archaeologist and lead female kida the clichéd atlantian princess are set to fall in love with each other but what i found was not as clichéd as i was expecting by film s end for once the characters touching feeling kissing sequence was far more subdued there s various points in the film where the attraction grows but it s just not in the ballpark of say the little mermaid a good thing you may have grasped that this is a rather clichéd film correct you have your leading hero and heroine backed up by more than half a dozen crew members who go on the expedition all being given their moments during the film numerous other characters appear take up the few minutes of screentime then disappear it doesn t take a genius to do the maths a 96 minute film with a focus on action and visuals and with a considerable cast has very little time to expand the characters to any major extent so what does it rely on clichés and lots of them every character emulates something that has been done a thousand times before you have the bumbling scientist the attractive princess the square jawed colonel the rich eccentric the maniacal sleazebag the russian femme fatale need i go on i don t know why this got to anyone i found the tongue in cheek nature of this film quite amusing alright this is meant to be a serious flick but do you really expect disney to give up every single trait of their history at least the writers have tried to come up with consistently witty dialogue and sometimes it even is a little inspired but in the end it s those big stunning visuals that put the icing on this cake the cgi animation is truly amazing in places and doesn t dwarf the characters which was a flaw that let the recent titan a e down speaking of characters disney hired an outside comics industry artist to create the designs bringing an anime style to the film infact the visual presentation of the film as a whole owes a lot to anime much more so than any previous disney outing this resulted in a conflict with fans of the japanese anime nadia for the film s overall similarities with said cartoon series having not seen this anime i can t comment with picture there is sound gary rydstrom heads up the sound team and what a soundtrack from the opening shot the sound stage is alive and is a treat james newton howard treats us to a dynamic musical score which compliments the film in every way never sounding out of place and always helping to build the tension or subdue it perhaps i missed the point of what the creators intended to me the film conveys that it s an adventure thrill ride albeit with a more serious tone than any disney film before it if you don t like the clichéd tongue in cheek attitude then perhaps the effort that has been poured into the visuals will delight heck at least the mythology is far more correct than can be said about other disney efforts cough hercules cough this is a positive 10 out of 10 review from someone who was blown away by this film i always suspend my disbelief with any animated film after all the laws of the real world are more than frequently broken in the cartoon medium so sit back enjoy the ride and perhaps everyone can find something to enjoy about this film ,1,NN-DT-NN-NN-WDT-RB-VBD-IN-DT-NNS-JJ-CC-JJ-IN-DT-NNS-VBZ-RB-VBN-TO-VB-DT-TO-VB-PRP-VBZ-TO-VB-JJR-JJ-JJ-NN-VBZ-VBN-RB-JJ-IN-DT-JJ-NN-IN-NNS-NNS-IN-NN-CC-DT-NN-VBD-JJ-NN-VBP-VBN-DT-NN-TO-VB-RB-IN-DT-JJ-NN-VBN-NN-IN-NN-NN-NN-CC-IN-JJ-JJ-NN-NN-VBZ-DT-JJS-NN-RB-CC-PRP-VBP-TO-VB-DT-VBZ-RB-VB-DT-JJ-RB-JJ-NN-TO-VB-IN-IN-NN-NN-NN-NN-VBZ-DT-JJ-NN-IN-PRP-IN-NN-PRP-VBZ-RB-JJ-PRP-VBZ-PRP-IN-JJ-NN-RB-WRB-DT-NN-IN-NNS-VBD-VBN-RP-IN-VBG-PRP-DT-JJ-NN-CC-IN-DT-JJR-NN-JJ-NN-DT-VBZ-RB-DT-NN-WDT-NN-VBD-TO-VB-IN-DT-NNS-IN-RB-RB-VB-NNS-RB-DT-NN-VBD-TO-VB-JJ-JJ-RB-IN-NNS-TO-VB-CC-VBG-JJ-TO-VB-PRP-RB-IN-DT-NN-IN-DT-JJ-JJ-NN-NN-RB-WP-PRP-VBP-VBZ-RB-DT-RB-JJ-NN-RB-VBG-DT-NN-IN-VBG-VBN-IN-DT-CD-NN-NN-RB-DT-VBZ-DT-NN-NN-IN-NN-RB-IN-DT-NN-VBG-PRP-IN-PRP-VBP-VBN-IN-DT-JJ-DT-NN-IN-IN-JJ-NNS-VBG-DT-NN-IN-VBZ-JJ-IN-VBG-NN-VB-PRP$-NN-IN-WRB-DT-NNS-VBP-IN-NN-DT-TO-NN-NNS-RB-RB-PRP-VBP-JJ-TO-VB-DT-JJ-NN-WDT-VBD-VBG-IN-IN-NN-IN-PRP-VBP-JJ-NNS-IN-NN-IN-DT-NN-NN-TO-NNS-VB-NN-JJ-DT-NNS-VBP-DT-NN-IN-DT-NN-CC-VB-JJ-VB-IN-NN-MD-PRP-VB-IN-IN-DT-NN-IN-NNS-DT-JJ-NN-CD-NN-VB-DT-JJ-NN-CC-JJ-NN-VBD-DT-NN-JJ-NN-VBP-VBN-TO-VB-IN-NN-IN-DT-JJ-CC-WP-VBP-VBN-VBD-RB-RB-NN-IN-NN-VBD-VBG-IN-NN-JJ-NN-IN-RB-DT-NNS-VBG-VBG-VBG-NN-VBD-RB-JJR-JJ-EX-RB-JJ-NNS-IN-DT-NN-WRB-DT-NN-VBZ-CC-PRP-VBZ-RB-RB-IN-DT-NN-IN-VBP-DT-JJ-NN-DT-JJ-NN-PRP-MD-VB-VBN-IN-DT-VBZ-DT-RB-NN-NN-VBP-PRP-VBP-PRP$-JJ-NN-CC-NN-VBD-RP-IN-JJR-IN-PDT-DT-NN-NN-NNS-WP-VBP-IN-DT-NN-DT-VBG-VBN-PRP$-NNS-IN-DT-NN-JJ-JJ-NNS-VBP-VB-RP-DT-JJ-NNS-IN-NN-RB-VBP-PRP-VBZ-NNS-VB-DT-NN-TO-VB-DT-NNS-DT-CD-NN-NN-IN-DT-NN-IN-NN-CC-NNS-CC-IN-DT-JJ-NN-VBZ-RB-JJ-NN-TO-VB-DT-NNS-TO-DT-JJ-NN-RB-WP-VBZ-PRP-VB-IN-NN-CC-NNS-IN-PRP-DT-NN-VBZ-NN-WDT-VBZ-VBN-VBN-DT-CD-NNS-IN-PRP-VBP-DT-NN-NN-DT-JJ-NN-DT-NN-VBD-VB-DT-JJ-VBZ-DT-JJ-NN-DT-JJ-NN-JJ-NN-NNS-VBP-IN-NN-VBP-NN-VBP-WRB-DT-VBD-TO-NN-NN-VBD-DT-NN-IN-JJ-NN-IN-DT-NN-RB-VBG-NN-DT-VBZ-VBN-TO-VB-DT-JJ-NN-CC-VBP-PRP-RB-VB-NN-TO-VB-RP-DT-JJ-NN-IN-PRP$-NN-IN-JJS-DT-NNS-VBP-VBN-TO-VB-RP-IN-RB-JJ-NN-CC-VBZ-PRP-RB-VBZ-DT-JJ-JJ-CC-IN-DT-NN-PRP-VBD-DT-JJ-JJ-NNS-WDT-VBD-DT-NN-IN-DT-NN-DT-NN-NN-VBZ-RB-JJ-IN-NNS-CC-NN-NN-VBP-DT-NNS-WDT-VBD-DT-NN-WDT-VBD-DT-JJ-NN-DT-NN-RP-NN-IN-NNS-VBP-VBN-DT-JJ-NNS-NN-VBP-TO-VB-DT-NNS-VBG-DT-JJ-NN-TO-DT-NN-VB-DT-JJ-NN-IN-DT-NN-IN-DT-JJ-NN-DT-NN-TO-VB-RB-RBR-RB-IN-DT-JJ-NN-VBG-DT-VBN-IN-DT-NN-IN-NNS-IN-DT-JJ-JJ-NN-IN-DT-NN-NN-JJ-NNS-IN-VBD-NN-NN-VBG-RB-VBN-DT-NN-NN-MD-VB-NN-IN-NN-EX-VBZ-JJ-JJ-NN-VBZ-RP-DT-NN-NN-CC-WP-DT-NN-IN-DT-NN-VBD-DT-NN-NN-VBZ-JJ-CC-VBZ-DT-NN-VBZ-RB-JJ-NNS-PRP-TO-DT-JJ-JJ-NN-WDT-VBZ-DT-NN-IN-DT-NN-RB-VBG-IN-IN-NN-CC-RB-VBG-TO-VB-DT-NN-CC-VB-PRP-RB-VB-VBD-DT-NN-IN-WP-DT-NNS-VBD-TO-PRP-DT-NN-NNS-IN-PRP-VBD-DT-NN-NN-VB-IN-IN-DT-RBR-JJ-NN-IN-DT-NN-NN-IN-PRP-IN-PRP-VBP-NNS-IN-DT-NN-NN-IN-JJ-NN-RB-RB-DT-NN-WDT-VBZ-VBN-VBN-IN-DT-NNS-MD-VB-NN-IN-JJS-DT-NN-VBZ-RB-RBR-JJ-IN-MD-VB-VBD-IN-JJ-NN-NNS-IN-NNS-IN-DT-VBZ-DT-JJ-CD-IN-IN-CD-NN-IN-NN-WP-VBD-VBN-RB-IN-DT-NN-NN-RB-VB-PRP$-NN-IN-DT-JJ-NN-IN-PDT-DT-NNS-IN-DT-JJ-NN-VBP-JJR-IN-RB-VBN-IN-DT-NN-NN-IN-JJ-RB-VBP-DT-NN-CC-RB-NN-MD-VB-NN-TO-VB-IN-DT-NN
this movie is the only movie to feature a scene in which michael jackson wields a tommy gun plain and simple this movie rocks because it is freaking hilarious it may be creepy to see jacko w little kids but this movie also stars wait for it joe pesci think about it joe pesci and jacko with tommy guns throwing coins into jukeboxes from 20 feet away whats not to like as stated before this movie rocks ,1,DT-NN-VBZ-DT-JJ-NN-TO-VB-DT-NN-IN-WDT-NN-NN-VBZ-DT-JJ-NN-NN-CC-NN-DT-NN-VBZ-IN-PRP-VBZ-VBG-JJ-PRP-MD-VB-VBN-TO-VB-JJ-JJ-JJ-NNS-CC-DT-NN-RB-VBZ-NN-IN-PRP-VBZ-JJ-VBP-IN-PRP-VBZ-NN-CC-NN-IN-JJ-NNS-VBG-NNS-IN-NNS-IN-CD-NNS-RB-VBZ-RB-TO-VB-IN-VBN-IN-DT-NN-NNS
the eternal jew der ewige jude does not have what we today would call the markings of a scholarly document rather than naming experts or sources to support what it says it simply says without opposition what it wants us to believe one will concede that american newsreels of that period were also much less regulated than would seem ethical to a modern audience often inserting dramatized scenes and passing them off as actual news footage add to this directed propaganda the fact that filmmaker hippler was preaching to the converted not so much asking gentile europeans to hate the jews as validating the feelings so many of them must have held already in order to have allowed the holocaust that followed the weakest link in the film s logic shows in its rat analogy wherein it goes on to explain the behavior of rats and then adds something to the effect of well jewish people are like that too similarly it characterizes jewish people as ugly by showing ugly jewish people in comparison to attractive gentiles the accompanying leap of faith is that ugly is bad the film appears to contradict itself a few times for example by attacking western painters who portrayed old testament characters as light skinned europeans thereby the text admits that so called hebrew ethnicity is in fact an ingrained aspect of christian culture it also shows ghetto jews willingly living in roach infested filth despite the supposed treasure they ve hoarded and then flip flops by saying that these same undesirables live in wealth and luxury as soon as they leave the ghetto incidentally who wouldn t the use of scenes from a well known american film house of rothschild shows an equally blurry deployment of logic first the film is denounced as having been made by jews then it is apparently used by hippler to verify the deceptiveness of jews the aforementioned pretense of poverty by ghetto jews shown as a means of avoiding taxation although the rothschild character s spin is that jews are taxed excessively finally the rothschild film is once again execrated for implying that the famed banking family invented the checking account this apparent indecisiveness in whether the american footage is shown positively or negatively might become clearer with repeated viewings but at first sight it makes for some murky moviewatching for all of eternal jew s imperfections i was at first surprised that the imdb viewer rating for this film is as high as it is just shy of a 5 to date i d say the reason is that ej s documentary value has exceeded its original purpose offering us unintentionally a look into the lives of european jews as they would not be seen a few years hence needless to say the film s very badness also provides an historical insight into bad or simply evil filmmaking as a propagandist s tool about this time i should expect director hippler to flip flop once again springing forward to say that s what i meant to do all along the scenes depicting animal slaughter are particularly gruesome and show same as decidedly inhumane contrary to the intent of kosher law to prevent animal suffering i would like for someone who has seen the film and has some knowledge of these procedures to comment on whether the portrayal is accurate ,0,DT-JJ-NN-NN-FW-NN-VBZ-RB-VB-WP-PRP-NN-MD-VB-DT-NNS-IN-DT-JJ-NN-RB-IN-VBG-NNS-CC-NNS-TO-VB-WP-PRP-VBZ-PRP-RB-VBZ-IN-NN-WP-PRP-VBZ-PRP-TO-VB-CD-MD-VB-IN-JJ-NNS-IN-DT-NN-VBD-RB-JJ-RBR-VBN-IN-MD-VB-JJ-TO-DT-JJ-NN-RB-VBG-VBN-NNS-CC-VBG-PRP-RP-IN-JJ-NN-NN-NN-TO-DT-VBN-IN-DT-NN-IN-NN-NN-VBD-VBG-TO-DT-VBN-RB-RB-JJ-VBG-JJ-NNS-TO-VB-DT-NN-IN-VBG-DT-NNS-RB-JJ-IN-PRP-MD-VB-VBN-RB-IN-NN-TO-VB-VBN-DT-NN-WDT-VBD-DT-JJS-NN-IN-DT-NN-NN-NN-VBZ-IN-PRP$-NN-NN-VBD-PRP-VBZ-IN-TO-VB-DT-NN-IN-NNS-CC-RB-VBZ-NN-TO-DT-NN-IN-RB-JJ-NNS-VBP-IN-DT-RB-JJ-PRP-VBZ-JJ-NNS-IN-RB-IN-VBG-RB-JJ-NNS-IN-NN-TO-JJ-NNS-DT-VBG-NN-IN-NN-VBZ-IN-RB-VBZ-JJ-DT-NN-VBZ-TO-VB-PRP-DT-JJ-NNS-IN-NN-IN-VBG-JJ-NNS-WP-VBD-JJ-NN-NNS-IN-NN-VBD-NNS-RB-DT-NN-VBZ-IN-RB-VBN-NN-NN-VBZ-IN-NN-DT-JJ-NN-IN-JJ-NN-PRP-RB-VBZ-JJ-NNS-RB-VBG-IN-NN-VBN-NN-IN-DT-VBN-NN-PRP-VBP-VBN-CC-RB-VB-NNS-IN-VBG-IN-DT-JJ-NNS-VBP-IN-NN-CC-NN-RB-RB-IN-PRP-VBP-DT-NN-RB-WP-VBP-VBP-DT-NN-IN-NNS-IN-DT-RB-VBN-JJ-NN-NN-IN-NN-NNS-DT-RB-JJ-NN-IN-NN-RB-DT-NN-VBZ-VBN-IN-VBG-VBN-VBN-IN-NNS-RB-PRP-VBZ-RB-VBN-IN-NN-TO-VB-DT-NN-IN-NNS-DT-JJ-NN-IN-NN-IN-JJ-NNS-VBN-IN-DT-NN-IN-VBG-NN-IN-DT-JJ-NN-NN-NN-VBZ-IN-NNS-VBP-VBN-RB-RB-DT-NN-NN-VBZ-RB-RB-VBN-IN-VBG-IN-DT-JJ-NN-NN-VBD-DT-NN-NN-DT-JJ-NN-IN-IN-DT-JJ-NN-VBZ-VBN-RB-CC-RB-MD-VB-NN-IN-JJ-NNS-CC-IN-JJ-NN-PRP-VBZ-IN-DT-NN-VBG-IN-DT-IN-JJ-NN-JJ-NNS-NN-VBD-IN-JJ-VBD-IN-DT-NN-NN-NN-IN-DT-NN-VBZ-RB-JJ-IN-PRP-VBZ-RB-NN-IN-DT-CD-TO-NN-NN-VBP-VBP-DT-NN-VBZ-IN-JJ-JJ-NN-NN-VBZ-VBN-PRP$-JJ-JJ-VBG-PRP-RB-DT-NN-IN-DT-NNS-IN-JJ-NNS-IN-PRP-MD-RB-VB-VBN-DT-JJ-NNS-RB-JJ-TO-VB-DT-NN-JJ-RB-RB-RB-VBZ-DT-JJ-NN-IN-JJ-CC-RB-JJ-NN-IN-DT-NN-NN-NN-IN-DT-NN-NN-MD-VB-NN-NN-TO-VB-NN-RB-RB-VBG-NN-TO-VB-IN-VBP-WP-NN-VBD-TO-VB-DT-IN-DT-NNS-VBG-JJ-NN-VBP-RB-JJ-CC-JJ-JJ-IN-RB-JJ-JJ-TO-DT-NN-IN-NN-NN-TO-VB-JJ-NN-NN-MD-VB-IN-NN-WP-VBZ-VBN-DT-NN-CC-VBZ-DT-NN-IN-DT-NNS-TO-VB-IN-IN-DT-NN-VBZ-JJ
this movie is just plain terrible poor john savage had to stoop this low in order to be in another movie he stars as a rare type of vampire that is to help a lady that looks like a washed out and thrown in the streets hooker that is a dancer at a local strip club she acidently tastes a drop of blood from another dancer who happens to be one of those rare vampires as they get carried away making out on the floor of the dressing room savage is then assigned by a short leader of this rare vampire breed that looks like a cross between 80 s punk rock and one of the olsen twins with purple hair this movie just gets all to crazy with savage rapping and dancing with a midget with a tattooed spider on his head also one of the rare he quotes the elephant man and jimmy durante and i just had to laugh this just gets rediculas and then the most gross special effects that they could come up with is corri throwing up her organs and pulling them out of her mouth and you can tell that that is all to fake her son doesn t know what to do with his moms new identity and becomes more of a pest than an object of serenity i enjoy a good vampire film believe me i do but i just hated this one even the photography stinks in and out blurs with the camera switching this way and that trying to make it look like the vampires move to fast for the camera to keep up and then the camera turns all to bright in the scene of savage chasing the son of corri around till he blinds himself avoid this one ,0,DT-NN-VBZ-RB-RB-JJ-JJ-NN-NN-VBD-TO-VB-DT-JJ-IN-NN-TO-VB-IN-DT-NN-PRP-VBZ-IN-DT-JJ-NN-IN-NN-WDT-VBZ-TO-VB-DT-NN-WDT-VBZ-IN-DT-VBN-IN-CC-VB-IN-DT-NNS-VBP-DT-VBZ-DT-NN-IN-DT-JJ-NN-NN-PRP-RB-VBZ-DT-NN-IN-NN-IN-DT-NN-WP-VBZ-TO-VB-CD-IN-DT-JJ-NNS-IN-PRP-VBP-VBN-RB-VBG-RP-IN-DT-NN-IN-DT-NN-NN-NN-VBZ-RB-VBN-IN-DT-JJ-NN-IN-DT-JJ-NN-NN-WDT-VBZ-IN-DT-NN-IN-CD-JJ-NN-NN-CC-CD-IN-DT-NN-VBZ-IN-JJ-NN-DT-NN-RB-VBZ-DT-TO-VB-IN-NN-NN-CC-VBG-IN-DT-NN-IN-DT-JJ-NN-IN-PRP$-NN-RB-CD-IN-DT-NN-PRP-VBZ-DT-JJ-NN-CC-NN-NN-CC-NN-RB-VBD-TO-VB-DT-RB-VBZ-NNS-CC-RB-DT-RBS-JJ-JJ-NNS-IN-PRP-MD-VB-RP-IN-VBZ-JJ-VBG-RP-PRP$-NNS-CC-VBG-PRP-IN-IN-PRP$-NN-CC-PRP-MD-VB-IN-DT-VBZ-DT-TO-VB-PRP$-NN-NN-NN-VBP-WP-TO-VB-IN-PRP$-NNS-JJ-NN-CC-VBZ-JJR-IN-DT-NN-IN-DT-NN-IN-NN-NN-VBP-DT-JJ-NN-NN-VBP-PRP-JJ-VBP-CC-VB-RB-VBN-DT-CD-RB-DT-NN-NNS-IN-CC-IN-NNS-IN-DT-NN-VBG-DT-NN-CC-IN-VBG-TO-VB-PRP-VB-IN-DT-NNS-VBP-TO-VB-IN-DT-NN-TO-VB-RP-CC-RB-DT-NN-VBZ-DT-TO-VB-IN-DT-NN-IN-NN-VBG-DT-NN-IN-NN-IN-NN-PRP-VBZ-PRP-IN-DT-NN
great movie great actors great soundtrack i loved it settings are perfect dialogues situations storyline all together mixed to give this masterpiece clooney and turturro are magnificent and the soggy bottom boys are simply charming and contagious with their music :),1,JJ-NN-JJ-NNS-JJ-NN-NN-VBD-PRP-NNS-VBP-JJ-NNS-NNS-VBP-DT-RB-JJ-TO-VB-DT-NN-NN-CC-NN-VBP-JJ-CC-DT-JJ-NN-NNS-VBP-RB-VBG-CC-JJ-IN-PRP$-NN-:-)
i absolutely loved this movie it met all expectations and went beyond that i loved the humor and the way the movie wasn t just randomly silly it also had a message jim carrey makes me happy :),1,NN-RB-VBD-DT-NN-PRP-VBD-DT-NNS-CC-VBD-IN-DT-NN-VBD-DT-NN-CC-DT-NN-DT-NN-NN-NN-RB-RB-RB-PRP-RB-VBD-DT-NN-NN-NN-VBZ-PRP-JJ-:-)
i am a current a s l student was forced to watch this movie in class and what i got out of it was the blatant bias involved in the film the film is obviously leaning towards to p o v of the common deaf perception their is no middle ground also the film didn t make mention or take into account other situations that are also under debate in this topic i e deaf people who were born hearing and later went deaf is it right or wrong in that instance the film is biased and virtually all in the opinion of the deaf w a capital d not that this is bad but for it to be a true documentary film is should attempt to be slightly unbiased ,0,NN-VBP-DT-JJ-DT-NN-NN-NN-VBD-VBN-TO-VB-DT-NN-IN-NN-CC-WP-NN-VBD-IN-IN-PRP-VBD-DT-JJ-NN-VBN-IN-DT-NN-DT-NN-VBZ-RB-JJ-NNS-TO-VB-JJ-NN-IN-DT-JJ-NN-NN-PRP$-VBZ-DT-JJ-NN-RB-DT-NN-NN-NNS-VBP-NN-CC-VB-IN-NN-JJ-NNS-WDT-VBP-RB-IN-NN-IN-DT-NN-NN-VBP-JJ-NNS-WP-VBD-VBN-NN-CC-RB-VBD-NN-VBZ-PRP-RB-CC-JJ-IN-DT-NN-DT-NN-VBZ-VBN-CC-RB-DT-IN-DT-NN-IN-DT-NN-VBD-DT-NN-NN-RB-IN-DT-VBZ-JJ-CC-IN-PRP-TO-VB-DT-JJ-NN-NN-VBZ-MD-VB-TO-VB-RB-JJ
i actually trawled through the entire set of reviews searching for the ones which gave this film less than 5 stars they were few and far between which is utterly baffling yes i know it s a disney film and it isn t directed by christopher nolan but good lord this is straight to the bargain bucket nonsense they should ve had done with it and animated the bloody thing and what s even worse is the fact that imdb won t let me simply finish my rant there because my review needs to be longer the awesome in game camera shots are literally taken from tiger woods pga tour golf on the playstation the story plods like a sulking school boy the multi stranded character and plot development cripples an already weak setup and the grand finale is plain boring aside from that it really was the greatest film i ve ever seen in my entire life good authentic looking costumes sets and sports equipment there i said it ,0,NNS-RB-VBD-IN-DT-JJ-NN-IN-NNS-VBG-IN-DT-NNS-WDT-VBD-DT-NN-JJR-IN-CD-NNS-PRP-VBD-JJ-CC-RB-IN-WDT-VBZ-JJ-VBG-NN-NN-VBP-PRP-VBZ-DT-NN-NN-CC-PRP-VBZ-RB-VBN-IN-NN-NN-CC-JJ-NN-DT-VBZ-VBN-TO-DT-NN-NN-IN-PRP-MD-VB-VBD-VBN-IN-PRP-CC-VBD-DT-JJ-NN-CC-WP-VBD-RB-JJR-VBZ-DT-NN-IN-JJ-VBD-JJ-VB-PRP-RB-VB-PRP$-NN-RB-IN-PRP$-NN-VBZ-TO-VB-JJR-DT-NN-IN-NN-NN-NNS-VBP-RB-VBN-IN-JJR-NNS-VBP-JJ-NN-IN-DT-NN-DT-NN-NNS-IN-DT-JJ-NN-VBD-DT-NN-VBD-NN-CC-NN-NN-VBZ-DT-RB-JJ-NN-CC-DT-JJ-NN-VBZ-JJ-JJ-NN-IN-IN-PRP-RB-VBD-DT-JJS-NN-NN-VBP-RB-VBN-IN-PRP$-JJ-NN-JJ-JJ-VBG-NNS-NNS-CC-NNS-NN-RB-VBZ-VBD-PRP
this movie basically uses spousal rape as one of its main comedic devices now i turned it off at the point when he literally ties her to the bed and rapes her but i cannot really imagine how that was eventually turned around into something endearing and funny this movie not only squandered a wonderful cast and was consistently unfunny it actually managed to be rather brutally disturbing and misogynistic how so many people seem to find it a sweet family flick is beyond me i sure enjoyed canning those apricots last night is not a funny joke when you know it refers to forcing an unwilling virgin to have sex with you in the hopes she will eventually learn to like it watching a peeping tom jerk off is not family fun i honestly feel worse off for having watched half of this creepy comedy and am totally baffled by these positive reviews ,0,DT-NN-RB-VBZ-JJ-NN-IN-CD-IN-PRP$-JJ-JJ-NNS-RB-VBP-VBD-PRP-RP-IN-DT-NN-WRB-PRP-RB-VBZ-PRP-TO-DT-NN-CC-VBZ-PRP$-CC-NN-MD-RB-RB-VB-WRB-DT-VBD-RB-VBN-RP-IN-NN-NN-CC-VB-DT-NN-RB-RB-VBD-DT-JJ-NN-CC-VBD-RB-JJ-PRP-RB-VBD-TO-VB-RB-RB-VBG-CC-JJ-WRB-RB-JJ-NNS-VBP-TO-VB-PRP-DT-JJ-NN-NN-VBZ-IN-PRP-JJ-JJ-VBN-VBG-DT-NNS-JJ-NN-VBZ-RB-DT-JJ-NN-WRB-PRP-VBP-PRP-VBZ-TO-VBG-DT-JJ-NN-TO-VB-NN-IN-PRP-IN-DT-NNS-PRP-MD-RB-VB-TO-VB-PRP-VBG-DT-NN-NN-NN-RP-VBZ-RB-NN-NN-NN-RB-VB-JJR-RP-IN-VBG-VBN-NN-IN-DT-NN-NN-CC-VBP-RB-VBN-IN-DT-JJ-NNS
