review,sentiment
i enjoyed this show it was on in the uk but not at peak time and they seemed to move it all over the schedules so i wasn t able to watch them all i was surprised when it didn t return and had no i idea why still don t know but i guess that s not important great performances from the two leads they were very believable as friends the two supporting actresses also added well to the mix i guess it was part of a whole load of shows that were lifestyle centred friends being the obvious main one but sex in the city came along a few years later the characters get take out coffee they drink at nice bars that sort of thing a little woody allenish in a way ,1
kurosawa weaves a tale that has a cast of characters as diverse as any shakespearean drama and the acting is true to the story with each star playing their role as a part of the larger tale it is touching funny and intriguing in all parts the character development is near perfect the cinematography is vivid and engaging and the story draws you in i would like to say that the samurai freaks and those obsessed with late 18th and 19th century dynastic tales of japan may snub this film as not kurosawa s best work perhaps not his best but even at his worst kurosawa is better than many of the best this story is so based in elevating the mundane lives of ordinary people in a time of great change that it is timeless despite being set in the not so distant past i would heartily recommend this to any movie buff and especially to those who are likely to continue on to read the novel on which the film is based ,1
i chose to watch this film at tribeca based on judd hirsch and scott cohen and found it to be one of the best movies in the festival both leading actors deliver a well rounded sensitive performance that seems to match the characters on a personal level the director did a great job bringing the characters and story to life with skill that is usually not seen in a first time production one interesting aspect of this film is the love of woodwork and new york city brooklyn in specific the movie revolves around the family furniture making business and weaves delicate cinematography of both carpentry and ordinary brooklyn life again kudos to the director on this fine choice this is gem and i would whole heartedly recommend it i m sure it will make it to the screen ,1
really bad shot on video film made by not one not two but three amateur video makers if you re going to make a bad horror film at least throw in some blood gore and nudity there is some blood provided by latex cut off arm props bought at a halloween store there are lesbians and hookers but no nudity or sex the lesbians spend a lot of time in bed but only talking there seems to be no editing effects fades wipes etc once in a while a bit of black appears to separate scenes terrible music by bad heavy metal bands whose websites take up the majority of the end credits the werewolves are represented by rubber masks that are attached to just the actors face they didn t even bother to apply brown makeup to their necks arms or wrists i guarantee a 10 year old with a video camera could put together a better movie no reason at all to buy rent or watch this film except as an example of how not to make a low budget video ,0
obviously a lot of talented behind the scenes crew members worked on this movie so don t even look at the credits at the end you ll only hold it against them nobody seemed interested in seeing this movie only 3 were in the theater two passed out after 10 minutes and they were the lucky ones the monsters were the unemployed worm from star trek 2 the wrath of khan and rejected designs for the space creatures in alien the creators of the movie obviously didn t want to overshadow the third rate movie monsters so they hired forth rate actors who apparently didn t get to memorize their lines or in some cases learn to pronounce the words before filming began some scenes are incredibly inept in conveying just what is supposed to be happening if anything is if you are unfortunate enough to be in a theater where this movie is showing and you don t pass out you ll laugh at what are supposed to be frightening or suspenseful moments of the film the implausibility of several scenes will just stun you and stephen dorff s regular spewing of the queen mary of curse words conveys the feeling of anyone who pays to see this if you must see this movie do yourself a favor and wait until it s in the bargain bin at the video store if there s any justice in the film industry one of the main actors will be there to rent it to you ,0
this all but ignored masterpiece is about the monkees becoming aware that they are fictional characters in a movie head and that everything they do or say had already been written in an unseen script they seem to be following head was written by jack nicholson rafelson and peter tork during a three day lsd trip in a suite at an expensive hollywood hotel the other three monkees only acted in it they fight this every way they can by doing things not in the script they deliberately flub their lines walk off sets tear up scenery punch other actors for no reason and ultimately commit suicide by jumping off a bridge for instance in the rapid flashes of a psychedelic party scene if you watch frame by frame you can see rafelson sitting next to the camera and cameraman very deliberately shooting into a mirror he is revealing that the party is actually fake and is being shot in a studio with actors who suddenly drop out of character and walk away in the middle of a conversation when the director yells cut the monkees however never drop out of character because those characters are also who they really are that ends up being the core of the revelation soon to come at every turn they realize their increasingly bizarre actions were exactly what they were supposed to do in the scripted film they can t escape being in you say they went crazy and walked through the sky which turns out to be painted on paper and hung from the ceiling as the set s background no problem hey hey they re the monkees and those wacky guys just keep monkeying around in the end even their deaths did not set them free that was how the movie was supposed to end and their motionless waterlogged bodies are fished out of the river put in another box and stacked in a film studio warehouse until the characters are needed again for another studio production this is made all the more poignant by the fact that the monkees really are fictional characters who forced themselves into the real world they did it through the power of their music ironically near the end peter tork has what he rightly sees as a hugely profound revelation that solves their problem but unfortunately no one listens peter realizes it doesn t matter if we re in the box the film he means that it doesn t matter if will is free or illusory and that the only important thing is that you just let the present moment occur and occur you need to just let now happen as it happens without analyzing or evaluating or judging whether the experience is valid by some abstract definition when you can t even tell the difference will being free or not doesn t matter tying to figure out if you are the real you is just a pointless waste of time i saw this film at a very important time in my life i was trying to figure out how to escape being just that geeky creepy nerd girl by thinking about it intensely instead of just having fun i e sex like everyone else did but the revelation in head broke my self imposed recursive trap and helped me more than rafelson or nicholson or tork will ever know for decades i ve watched head and wished i could thank pete was this a good movie uhh how about like ,1
got to this show late believe it was the 3rd and final episode when first watched it and was blown away by a social commentary that hasn t been seen on american tv since all in the family was very surprised cbs would even run this in the first place which is merely to say the last time cbs had a set if you know what i mean was back in the day of all in the family the most controversial decision they re willing to tackle today is how much eye make up to put on katie couric if you want to make a bunch of folks really really mad let them discover the truth about themselves and if you want them willing to pull strings make calls and get a work of art removed let them discover that truth by hearing their own words spoken from their own mouths the aardman folks have always been way ahead of the curve and this show is no different somehow it snuck under the cbs corporate social political censor radar to get it onto the schedule perhaps the big brass never really watched it till it finally aired but once good ol middle merika heard and saw themselves being themselves well can bet the farm that message or the messenger won t last long now if only the missing episodes can find their way onto usenet or bit torrent thank you bc kelly tallahassee fla;),1
stefan is an x con that five years ago got married to marie their marriage has been stable until stefan past catch up with them and he s offered to do a courier job stefan s job is a heroin delivery from germany to sweden which should go easily in germany stefan meet elli a girl from bosnia that has been sold to a stripclub owner stefan dislikes what he sees and decide to help elli out of her misery due to the fact that elli s father during the war fleed to sweden elli now goes with stefan to sweden to make up with the past stefan promises elli to help her find her father no matter what it takes finally back in sweden the whole situation seems to be more complicated than stefan ever thought of this movie doesn t seem to fit in the ordinary class of swedish movies due to the fact that it s been americanized alot regina lund and cecilia bergqvist makes it all average the effects makes the movie a little too much though see it and jugde for yourself ,0
i never really started watching the show until it was canceled and started showing re runs i actually enjoyed it for the first to third season once i saw the fourth and fifth one i was beginning to get irate the first problem was that they did that irrelevant scenario of history repeating itself jr having a kid like his parents did the second had to be the one where they had everyone paired up with someone ex katie and franklin the third one was when they made jr even more idiotic than before which was beginning to be tedious and vexing to the point where i wanted to go into the t v and beat the stupidity out of him until he s unconscious the fourth one had to be that zealous dork that clarie claimed as a boyfriend the fifth one had to be katie she was beginning to be too good for herself and was treated her boyfriend franklin like the pushover he was the last but not least was noah gray cabey franklin franklin was just scary it was like watching a terrible combination of urkle and tj henderson only more annoying they seriously jumped the shark when came he to the show there was little to no realism to his character and the way he laughed was a sign of obvious force showing that noah can t act eveytime i saw that kid just made me want slap he silly however b f before frank this show was funny and very entertaining ,0
i don t really know why but i watched this with quite a sense of anticipation unfortunatly it was misplaced firstly this is not horror it doesn t scare and unless it was even worse than i gave it credit for which is possible doesn t try to it s a trashy comedy and the fact i smiled once means i gave it a 2 not a 1 this film ripps of gremlins in a truly special way i can t claim to have ever seen a film which devotes its self more very very bad avoid ,0
