sentiment,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,98,7,14,22,8,1,17,23,31,58,2,34,5,7,33,123,1,37,9,232,20,5,114,83,33,9,14,49,7,145,20,2,71,56,9,138,135,80,20,102,17,9,380,11,12,23,93,352,35,1,95,34,70,59,16,328,1,95,84,73,5,1,9,380,7,14,212,4,3,237,4,260,11,70,328,104,1,247,29,17,284,8,1,353,354,314,3,154,160,254,1,91,76,164,41,34,31,11,4,136,3,116,8,3,85
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,42,3,185,4,91,16,16,109,2,1,126,6,318,5,1,67,13,233,306,53,187,16,3,212,4,1,7,6,141,2,8,33,1,110,6,1,6,2,2,1,67,21,8,9,57,38,5,124,11,1,2,139,13,2,4,156,10,19,16,23,12,111,177,23,27,111,17,63,31,27,307,6,119,75,101,4,1,111,10,67,6,37,342,8,1,364,4,77,8,3,58,4,93,11,7,6,104,257,8,1,23,37,9,57,276,10,5,109,15,2,246,5,139,30,24,5,22,5,255,1,22,65,1,19,6,342
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,114,10,19,31,342,22,2,2,308,7,5,26,29,4,1,111,107,8,1,234,137,3,73,266,11,194,5,1,91,22,3,1,170,128,3,93,329,1,91,2,67,5,100,13,11,6,23,94,8,3,72,58,334,29,195,4,10,19,6,1,117,4,2,151,353,8,1,15,165,1,180,223,2,4,234,2,100,181,5,1,170,22,10,10,6,2,9,57,237,276,7,9,168,277,7,61,82,7,5,1,258
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,66,22,19,97,32,23,29,23,95,17,290,45,21,182,147,5,82,3,66,205,19,31,248,8,52,2,39,6,52,32,129,31,3,39,24,2,17,56,44,284,1,3,178,4,58,8,17,68,39,194,5,26,56,267,298,8,3,132,3,238,4,261,5,150,319,239,32,66,164,50,1,4,1,153,1,24,32,11,24,5,43,1,137,278,34,145,20,63,5,5,53,44,9,3,171,224,186,13,3,330,103,256,240,3,119,15,56,279,31,33,5,44,114,10,19,16,36,4,90,23,5,82,3,390,381
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,178,4,1,150,22,10,15,37,80,20,63,142,31,1,31,1,153,21,309,68,7,83,8,299,10,15,68,70,8,1,95,41,108,171,231,2,34,70,1,1,70,1,35,306,300,1,4,2,18,1,8,1,4,1,15,145,20,172,5,1,15,37,34,137,30,145,20,76,5,53,44,8,52,5,1,173,52,150,24,8,43,51,6,365,5,26,45,241,6,45,21,24,211,5,26,8,3,120,10,15,6,2,21,80,20,41,21,309,31,51,24,365,5,26,44,4,1,19,1,4,150,61,43,21,2,12,4,1,4,1,4,242,30,5,60,10,45,21,221,60,10,15,79,3,2,270,7,12,8,1,31,1,45,39,12,109,8,1,19,29,4,1,247,137,61,26,39,5,7,5,21
1,14,365,5,153,2,53,24,41,4,1,256,8,196,2,8,3,19,270,1,91,24,181,18,196,334,10,6,97,33,1,48,32,1,222,11,1,64,24,91,30,86,1,157,159,34,128,7,155,1,4,53,239,1,153,42,51,28,16,3,11,53,17,56,29,7,148,20,45,81,182,8,1,1,19,28,11,7,148,20,45,61,6,44,2,11,1,68,136,6,11,21,43,321,1,2,21,382,5,43,321,127,16,7,201,44,44,1,6,32,52,49,21,47,20,63,383,1,61,104,44,23,148,20,5,41,45,21,24,1,157,21,6,43,3,4,58,9,202,10,19,31,3,59,58,8,62,100,9,14,336,5,41,90,5,104,43,11,268,32,46,7,271,4,43,235,217,9,284,38,250,356,128,17,1,8,62,2,88,48,75,44,44,61,121,102,18,9,152,367,2,9,103,14,10,3,54,15,90,46,38
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,5,10,98,292,7,14,1,2,49,72,367,7,2,14,200,32,3,11,20,69,94,22,191,272,225,33,8,1,180,14,59,57,63,10,8,1,72,293,65,6,5,124,1,226,58,71,3,257,45,21,102,51,9,337,14,146,8,1,243,4,33,8,1,180,1,96,34,182,5,6,90,78,82,50,5,256,22,45,21,172,5,82,3,4,64,64,321,83,1,46,2,45,21,172,83,5,82,2,76,3,177,4,321,83,11,32,53,244,35,53,244,1,25,207,69,85,4,1,2,10,98,6,56,7,1,5,76,7,1,1,162,106,64,367,7,7,368,17,298,54,2,202,104,73,47,1,11,44,1,384,20,226,218,127,45,68,1,47,143,53,85,44,238,21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,36,11,160,189,5,53,42,69,270,50,13,83,2,28,12,5,79,3,329,12,329,6,3,35,5,65,140,130,8,3,268,35,11,42,69,5,3,51,28,2,5,41,4,40,5,1,222,11,12,374,366,1,215,5,127,251,13,5,5,82,50,13,1,5,40,143,40,374,56,51,7,294,368,146,8,1,237,194,5,26,48,75,121,227,4,10,15,148,20,291,5,8,1,4,107,5,1,222,11,7,12,69,2,208,7,33,1,267,208,1,15,3,116,105,78,166,60,7,2,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,106,64,169,1,98,270,7,14,2,182,9,174,7,18,1,72,5,298,9,202,1,2,29,9,14,5,76,1,72,14,11,34,128,11,4,235,3,38,27,128,1,343,71,5,26,1,29,120,34,71,250,50,13,262,2,1,29,14,49,34,97,63,48,75,173,65,14,5,26,2,5,1,216,120,9,5,130,86,1,20,2,1,41,4,87,270,28,12,1,29,71,5,26,11,11,16,3,1,29,71,5,26,55,14,5,26,105,54,18,2,14,40,38,1,28,14,1,226,17,23,248,14,14,43,7,14,38,169,3,319,4,2,68,48,34,1,49,354,28,5,1,98,39,14,116,5,56,5,27,110,2,1,85,28,14,3,4,11,47,20,9,202,11,43,97,88,172,28,188,173,10,98,14,141,2,59
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,80,20,64,102,138,17,9,367,10,13,183,3,263,4,7,14,10,6,23,205,7,148,20,2,7,14,63,75,9,7,18,65,6,148,20,5,7,12,3,203,2,1,222,9,298,9,7,3,300,23,3,310,10,19,4,8,3,375,315,85,9,47,20,5,25,121,94,3,19,65,99,48,59,59,66
