sentiment,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,151,67,93,10,19,298,49,7,14,22,270,17,9,47,135,380,7,160,254,37,11,221,124,133,46,7,9,223,7,14,36,142,85,2,1,7,47,25,85,100,1,63,5,90,104,54,44,66,31,47,318,82,21,1,4,1,390,44,21,61,26,32,1,284,2,64,254,22,85,45,21,180,54,31,7,10,6,257,8,3,284,8,17,7,102,26,1,247,109,6,66,31,8,254,100,65,33,8,3,22,3,9,221,9,14,32,1,258,7,14,2
1,11,255,1,22,10,1,6,375,8,2,147,20,1,91,65,14,3,11,319,1,3,176,4,91,36,5,1,36,382,5,1,19,1,4,1,19,16,3,238,3,177,5,78,48,37,75,111,10,8,3,13,4,1,18,1,19,12,13,287,165,234,23,93,10,9,47,20,13,39,6,391,50,1,391,2,51,3,35,1,1,391,6,2,6,3,157,5,3,65,1,19,8,161,86,106,41,4,290,2,207,5,1,44,7,9,1,215,4,51,1,5,88,1,19,11,7,12,36,13,3,48,75,111,19,171,7,45,21,81,20,38,1,8,89,1,11,42,69,85,1,61,31,248,1,6,300,48,75,47,26,287,46,74,10,6,3,172,41,4,172,35,262,30,14,200,32,10,19,9,207,62,13,111,19,108,33,1,4,1,158,159,24,48,75,8,1,37,145,343,1,2,249,47,143,133,5,343,46,10,19
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,6,1,67,15,5,3,144,8,65,3,2,10,15,92,7,6,7,156,26,5,60,116,307,17,10,15,84,18,7,118,46,7,2,13,85,35,200,23,5,38,16,171,10,15
0,1,367,34,151,2,89,32,11,112,196,354,8,2,16,16,34,1,30,20,1,4,150,35,3,73,191,19,4,263,36,4,71,1,19,6,16,234,69,97,32,89,7,6,32,5,1,4,1,4,32,16,3,4,293,1,109,12,6,11,24,364,1,19,6,298,182,18,11,1,183,1,10,8,1,191,6,44,276,13,17,31,71,7,205,18,52,18,33,4,12,9,14,31,71,11,1,18,10,19,6,16,212,16,7,6,43,4,3,5,9,213,124,1,277,6,11,12,42,99,251,157,3,142,85,1,368,4,16,34,57,23,26,93,3,155,160,5,124,1,19,12,58,84,36,85,66,44,271,16,3,12,46,10,59,9,140,173,5,298,182,5,124,11,12,51,9,5,79,33,314,1,150,24,2,98,196,16,5,1,4,5,9,57,38,18,262,30,42,93,1,19,2,42,52,4,112,5,22,1,6
0,8,5,26,8,197,15,28,16,3,4,11,6,5,3,11,252,38,3,41,2,8,1,11,6,3,31,3,55,3,4,35,197,30,5,26,29,4,139,16,34,76,200,225,41,22,1,4,1,6,89,32,3,308,4,10,11,252,38,3,239,12,2,29,4,1,13,10,15,43,272,33,5,13,2,13,3,13,3,22,27,84,29,4,1,28,1,115,2,2,9,43,72,5,10,43,272,2,89,1,95,315,266,11,34,102,174,50,13,6,50,40,2,83,41,4,40,2,21,47,383,11,11,6,33,5,40,147,20,103,51,5,79,13,27,152,2,48,4,3,75,36,4,9,343,3,54,19,291,88,9,79,17,9,43,10,29,64,1,8,2,41,13,1,328,10,86,2,11,334,5,82,7,142,38,1,5,18,1,328,5,335,50,2,89,1,328,393,33,5,8,1,144,4,1,4,166,28,329,10,29
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,15,94,137,94,9,344,7,24,33,240,5,195,10,2,24,2,1,24,271,2,13,53,241
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,376,344,10,15,7,33,2,11,9,344,1,377,2,1,86,1,15,235,20,43,7,84,72,3,205,88
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,208,3,3,12,14,5,114,10,15,8,2,51,9,189,41,4,7,14,1,8,1,19,1,19,6,5,4,1,53,6,56,84,1,19,146,20,82,44,164,85,74,11,24,84,8,10,9,77,30,70,2,254,6,7,179,44,330,8,11,1,19,6,2,33,8,1,4,1,3,213,23,11,10,6,66,17,18,7,5,26,3,321,19,6,140,5,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,175,154,1,257,4,18,1,65,10,19,392,75,34,70,155,2,300,239,65,6,9,103,7,12,3,19,2,7,192,20,32,17,54,10,6,5,1,34,140,151,72,206,13,7,2,1,136,2,51,12,64,6,1,222,11,384,20,319,88,271,62,39,92,62,5,26,1,8,328,24,35,22,1,1,68,38,3,284,1,109,2,121,36,2,1,6,345,35,11,7,63,14,1,19,9,151,120,93,8,62,100,54,322,2,39,9,287,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,16,29,4,99,247,127,9,7,128,31,1,215,49,28,40,5,1,2,40,17,9,63,90,11,14,166,85,133,2,141,10,15,23,67,3,185,2,14,7,175,5,26,260,2,90,37,101,77,292,5,143,7,3,183,6,88,9,278,139,224,336,6,23,3,141,49,21,103,7,5,36,5,25,289,13,21,8,1,55,61,5,38,7,168,3,128,6,23,183,218,9,226,128,18,234,369,286,4,10,203,2,208,394,32,112
